,library size
1362,9.861154
1363,8.700348
1364,10.008028
1365,9.462188
1366,10.158905
1367,9.592673
1368,10.182822
1369,8.888618
1370,10.583651
1371,8.870663
1372,9.047939
1373,8.895219
1374,10.30327
1375,10.097449
1376,10.187914
1377,9.741262
1378,10.394243
1379,9.584177
1380,10.108833
1381,8.825413
1382,10.490829
1383,9.028219
1384,8.024535
1385,9.388235
1386,8.90232
1387,10.137373
1388,9.359708
1389,9.76031
1390,10.399798
1391,10.132692
1392,8.579792
1393,8.346405
1394,9.847341
1395,9.353314
1396,9.063231
1397,9.907629
1398,8.556029
1399,8.68152
1400,8.798001
1401,9.885883
1402,10.536859
1403,9.618336
1404,9.781377
1405,9.294313
1406,10.15782
1407,8.468213
1408,9.4225445
1409,8.091321
1410,9.021478
1411,10.609255
1412,9.429396
1413,9.892123
1414,9.555418
1415,10.527097
1416,8.5805435
1417,9.947791
1418,9.9795685
1419,10.497229
1420,9.025455
1421,10.207879
1422,8.01235
1423,9.320002
1424,7.6468315
1425,10.122021
1426,9.399223
1427,8.914761
1428,8.726644
1429,8.530307
1430,9.696341
1431,8.436417
1432,8.644354
1433,8.656433
1434,8.0900955
1435,8.541691
1436,8.952735
1437,10.394917
1438,9.125327
1439,9.677089
1440,7.9919305
1441,9.194516
1442,8.411833
1443,10.596185
1444,10.282917
1445,8.740336
1446,9.823254
1447,8.194229
1448,9.385469
1449,9.242517
1450,9.627537
1451,8.406038
1452,8.939056
1453,8.807173
1454,8.233237
1455,9.538924
1456,9.605284
1457,9.670861
1458,9.423919
1459,7.851661
1460,9.970913
1461,8.240121
1462,8.834337
1463,9.946835
1464,8.823206
1465,9.321434
1466,10.063351
1467,9.870603
1468,7.985484
1469,10.005638
1470,8.298539
1471,9.3266115
1472,9.510741
1473,7.903227
1474,8.236686
1475,8.255309
1476,8.461258
1477,8.312381
1478,9.750802
1479,10.702368
1480,8.931816
1481,8.423102
1482,9.219399
1483,8.290544
1484,9.603868
1485,8.298041
1486,9.841506
1487,9.05882
1488,9.817058
1489,7.8987823
1490,9.079776
1491,9.364177
1492,9.921328
1493,9.433804
1494,9.783013
