,nozero
1269,8.259717
1270,9.011401
1271,8.945072
1272,8.591743
1273,9.277345
1274,9.598863
1275,9.265302
1276,7.971776
1277,7.231287
1278,8.509766
1279,9.922212
1280,9.386644
1281,7.800982
1282,9.11548
1283,7.930566
1284,9.166911
1285,8.774931
1286,9.066701
1287,8.256088
1288,8.482602
1289,9.60434
1290,8.85723
1291,8.61214
1292,9.145695
1293,9.143024
1294,8.714567
1295,9.2794
1296,9.291275
1297,9.116579
1298,8.910451
1299,8.9998665
1300,9.273785
1301,7.872074
1302,8.899322
1303,8.041413
1304,8.060856
1305,8.3891325
1306,8.667164
1307,9.20994
1308,8.910451
1309,8.837972
1310,8.877661
1311,8.810758
1312,8.476788
1313,8.038189
1314,8.468003
1315,8.042056
1316,9.262174
1317,8.248006
1318,9.2096405
1319,8.61123
1320,9.065661
1321,8.511376
1322,9.090881
1323,8.987322
1324,9.105979
1325,8.678291
1326,8.704336
1327,8.892337
1328,8.816705
1329,9.153347
1330,9.021357
1331,8.69651
1332,8.589142
1333,8.300777
1334,8.752423
1335,9.04982
1336,9.048409
1337,7.912057
1338,8.839711
1339,9.502189
1340,8.61975
1341,8.3968315
1342,9.065892
1343,9.050055
1344,8.682368
1345,8.274357
1346,9.230927
1347,8.012681
1348,8.950144
1349,8.1792
1350,8.014667
1351,8.102587
1352,7.545918
1353,9.471781
1354,8.764053
1355,9.332204
1356,8.581294
1357,7.044905
1358,8.4372835
1359,9.256365
1360,8.584665
1361,8.391857
1362,8.966739
1363,7.9405837
1364,9.127176
1365,8.61577
1366,9.207335
1367,8.782016
1368,9.237274
1369,8.089176
1370,9.539716
1371,8.077447
1372,8.258681
1373,8.05896
1374,9.371864
1375,9.193906
1376,9.280053
1377,8.881558
1378,9.418817
1379,8.660427
1380,9.222763
1381,7.958227
1382,9.538421
1383,8.267192
1384,7.32449
1385,8.577159
1386,8.116118
1387,9.22582
1388,8.528133
1389,8.811205
1390,9.417029
1391,9.220291
1392,7.8184304
1393,7.620705
1394,8.891236
1395,8.52536
1396,8.268989
1397,9.035511
1398,7.810353
1399,7.8022094
1400,7.969358
1401,8.877242
1402,9.549025
1403,8.780941
1404,8.90964
1405,8.439015
1406,9.238247
1407,7.7084107
1408,8.592857
1409,7.3543625
1410,8.1934
1411,9.575053
1412,8.565221
1413,9.064621
1414,8.701346
1415,9.477233
1416,7.7993436
1417,9.058471
1418,9.107643
1419,9.501292
1420,8.225503
1421,9.272094
1422,7.30586
1423,8.482602
1424,6.922644
1425,9.2040205
1426,8.575651
1427,8.083637
1428,7.889459
1429,7.7861366
1430,8.834482
1431,7.650169
1432,7.8913307
1433,7.8228455
1434,7.3639135
1435,7.7137847
1436,8.181161
1437,9.398313
1438,8.325064
1439,8.809713
1440,7.2633295
1441,8.342602
1442,7.622664
1443,9.559306
1444,9.349058
1445,7.9765954
1446,8.967887
1447,7.381502
1448,8.579604
1449,8.404248
1450,8.805825
1451,7.668561
1452,8.116118
1453,7.9669337
1454,7.4395595
1455,8.651549
1456,8.644707
1457,8.730044
1458,8.542861
1459,7.145196
1460,9.093582
1461,7.51915
1462,7.988543
1463,9.027498
1464,7.970395
1465,8.514189
1466,9.182455
1467,8.995165
1468,7.26403
1469,9.051813
1470,7.5714736
1471,8.465899
1472,8.688454
1473,7.167038
1474,7.4229712
1475,7.501082
1476,7.7209053
1477,7.6157913
1478,8.881002
1479,9.62536
1480,8.0861025
1481,7.710205
1482,8.431417
1483,7.5857887
1484,8.802823
1485,7.6211953
1486,8.914223
1487,8.244071
1488,8.902592
1489,7.2167096
1490,8.288534
1491,8.551981
1492,8.9758835
1493,8.518393
1494,8.837391
1495,8.719808
1496,9.191871
1497,8.74401
1498,9.565073
1499,8.637462
1500,8.509967
1501,9.47991
1502,9.125
1503,9.385302
1504,8.743053
1505,8.664578
1506,8.005701
1507,8.897956
1508,9.04688
1509,9.447308
1510,8.969288
1511,9.347839
1512,7.502738
1513,8.282483
1514,8.687611
1515,8.581857
1516,8.306719
1517,8.651025
1518,9.171911
1519,9.255982
1520,9.0594015
1521,7.202661
1522,9.054973
1523,9.242711
1524,9.421816
1525,9.613937
1526,8.954028
1527,8.368229
1528,9.0055275
1529,7.8678713
1530,8.529715
1531,8.513386
1532,8.84621
1533,9.134431
1534,8.818038
1535,7.853605
1536,7.83637
1537,8.03948
1538,9.414016
1539,8.899867
1540,8.53778
1541,8.580168
1542,7.720462
1543,8.943898
1544,9.113278
1545,8.154213
1546,9.296427
1547,7.809541
1548,8.6673355
1549,9.040145
1550,8.954287
1551,9.112287
1552,9.261128
1553,8.560636
1554,9.300364
1555,8.140607
1556,9.342508
1557,9.123911
1558,9.134862
1559,9.202611
1560,8.281977
1561,9.334149
1562,9.398726
1563,7.9197197
1564,10.071287
1565,8.9997425
1566,9.608378
1567,9.0524
1568,8.9899435
1569,9.545169
1570,8.150179
1571,9.987599
1572,9.330875
1573,9.547526
1574,9.250906
1575,9.185432
1576,9.476314
1577,9.266248
1578,9.238928
1579,9.371609
1580,8.592486
1581,9.21174
1582,9.4214115
1583,9.434124
1584,9.42529
1585,9.552866
1586,9.674766
1587,8.755265
1588,9.680094
1589,9.587886
1590,9.062884
1591,9.627009
1592,9.138952
1593,9.656564
1594,9.306831
1595,9.299358
1596,9.362632
1597,8.8775215
1598,8.916506
1599,8.576406
1600,9.412138
1601,9.19299
1602,9.022081
1603,8.524764
1604,9.673885
1605,8.200288
1606,8.482187
1607,9.320897
1608,8.631414
1609,9.346094
1610,10.028004
1611,9.245321
1612,9.441373
1613,8.987447
1614,9.320629
1615,9.731512
1616,8.796187
1617,9.107089
1618,9.077266
1619,8.537975
1620,7.8438487
1621,8.276649
1622,7.5021863
1623,8.678802
1624,8.385033
1625,8.458292
1626,8.172165
1627,8.724695
1628,7.5933743
1629,9.084097
1630,7.336937
1631,8.539932
1632,9.100637
1633,8.630165
1634,8.634621
1635,8.221747
1636,8.446771
1637,8.838262
1638,8.573384
1639,8.855948
1640,8.656955
1641,7.5918617
1642,7.86442
1643,8.529517
1644,8.102889
1645,7.4018416
1646,7.083388
1647,8.734077
1648,8.17611
1649,8.002694
1650,8.7162075
1651,7.8204393
1652,7.7454357
1653,8.843327
1654,7.9752207
1655,9.028818
1656,8.273082
1657,8.658519
1658,8.566745
1659,9.0889635
1660,8.922392
1661,8.861492
1662,7.194437
1663,8.911261
1664,8.313852
1665,8.933137
1666,8.609043
1667,9.034677
1668,8.434246
1669,7.7587605
1670,8.474077
1671,8.8720665
1672,7.09091
1673,8.458928
1674,7.010312
1675,8.4463415
1676,7.706613
1677,7.46049
1678,8.12947
1679,8.740817
1680,7.621685
1681,9.1769905
1682,9.093245
1683,8.383433
1684,8.593413
1685,8.028781
1686,7.917172
1687,8.783397
1688,8.095599
1689,8.987197
1690,8.040125
1691,8.631236
1692,9.989986
1693,9.568085
